0a	0:AH;1:EY
4inazzo	0010:AA Z OW
2pe	1:AY P
3p	1:IH P
4er	10:IH P ER
4le	10:IH P AH L
3son	10:IY P S AH N
2raffe	01:AE F
7s	01:AE F S
4ldo	010:AA L D OW
4rd	01:AA R D
6i	010:AA R D IY
7n	210:AA R D EH N
6ot	120:AA R D OW
4ud	01:OW
3d	1:ER D
4er	10:ER D ER
6s	10:ER D ER Z
4ing	10:ER D IH NG
4le	10:ER D AH L
6r	100:ER D AH L ER;10:ER D L ER
6y	10:ER D L IY
4ner	10:ER D N ER
4s	1:ER D Z
3e	1:AY R
4n	10:IH R AH N
3genti	010:EH N T IY
4is	10:ER G IH S
3ija	210:IY JH AH
3l	1:ER L
4's	1:ER L Z
4friend	12:EH N D
a's	12:EH N D Z
as	12:EH N D Z
4hood	12:UH D
4ie	10:ER L IY
5sh	10:ER L IH SH
7ly	100:ER L IH SH L IY
4s	1:ER L Z
5'	1:ER L Z
3obank	102:AE NG K
4d	01:AA D
4ir	01:AA R
4lamo	0010:AA M OW
5di	010:OW L D IY
7's	010:OW L D IY Z
4n	10:IH R AH N
5de	01:AO N D
4uard	100:AY R UW ER D
5x	01:UW
4zentrale	0102:AA L
3sky	10:ER S K IY
3t	1:ER T
4en	10:ER T AH N
4h	1:ER TH
4man	10:ER T M AH N
4on	10:ER T AH N
3van	10:ER V AH N
4en	10:ER V AH N
4in	10:ER V IH N
2sbert	10:IH S B ER T
3card	01:AA R D;01:AA R
4lair	01:EH R
3ela	100:IY Z AH L AH
5la	010:EH L AH
6e	01:EH L
4nyi	010:EH N IY;010:EH N Y IY
3h	1:IH SH
3i	10:IY S IY
3ler	100:IH S AH L ER;10:IH S L ER
3mondi	010:OW N D IY
3sendanner	1000:IH S IH N D AH N ER
4i	10:IH S IY
3t	1:IH S T
3u	10:IH S UW
2t	1:IH T
3ana	010:AE N AH
5o	010:AA N OW
6's	010:AA N OW Z
3chell	10:IH CH AH L
3ha	10:IH DH AH
4ens	10:IH TH AH N Z
4ub	10:IH T HH AH B
3lin	10:IH T L IH N
3telman	100:IH T AH L M AH N
5ns	10:IH T AH N Z
5r	10:IH T ER
4ings	10:IH T IH NG Z
6s	10:IH T IH N Z
5s	10:IH T AH S;10:IH T IH S
4leman	100:IH T AH L M AH N
9's	100:IH T AH L M AH N Z
6r	10:IH T L ER
4o	10:IY T OW
2udice	100:UW D IH S IY
6i	100:UW D IH CH IY
3ffre	10:UW F R IY
7's	10:UW F R IY Z
6ida	100:UW F R IY D AH
3liani	2010:AA N IY
8's	2010:AA N IY Z
7o	2010:AA N OW
5o	100:UW L IY OW
3nta	10:UW N T AH
3rescu	210:EH S K UW
3seppe	010:EH P IY
4ti	10:UW S T IY
5o	10:UW S T OW
2van	10:IH V AH N
3e	1:IH V
4away	102:EY
8s	102:EY Z
4back	12:AE K
8s	12:AE K S
4n	10:IH V AH N;10:IH V IH N
5chy	010:EH N CH IY
5ness	100:IH V AH N AH S
5s	10:IH V AH N Z
6's	100:IH V AH N Z IH Z
4r	10:IH V ER
5s	10:IH V ER Z
4s	1:IH V Z
4th	10:IH V EH TH
3han	10:IH V HH AH N
3in'	10:IH V IH N
5g	10:IH V IH NG
6-feast	102:IY S T
5s	10:IH V IH N Z
3ler	10:IH V L ER
2za	10:IH Z AH;10:IY Z AH
3bert	10:IH Z B ER T
7's	10:IH Z B ER T S
3mo	12:OW
5s	10:IH Z M OW Z
3zard	10:IH Z ER D
4i	10:IY T S IY
1jelten	10:EH L T AH N
7's	10:EH L T AH N Z
3rde	1:ER D
1laab	1:AA B
3b	1:AE B
3ce	1:EY S
4ial	10:EY SH AH L
6te	102:EY T
8d	1020:EY T AH D
7ion	2010:EY SH AH N
5er	10:EY SH ER
7's	10:EY SH ER Z
7s	10:EY SH ER Z
5s	10:EY S AH S
4ken	10:AE K AH N
5in	10:AE K IH N
3d	1:AE D
4d	1:AE D
5en	10:AE D AH N
5ing	10:AE D IH NG
5ock	10:AE D AH K
4e	1:EY D
5s	1:EY D Z
4felter	120:EH L T ER
4hill	12:IH L
4iator	1020:EY T ER
9s	1020:EY T ER Z
5eux	100:AE D IY OW
5olus	2010:OW L AH S
5s	10:AE D IH S
6h	10:AE D IH SH
4je	12:IY
4ly	10:AE D L IY
4man	10:AE D M AH N
4ney	10:AE D N IY
4son	10:AE D S AH N
5tein	12:AY N;12:IY N
6one	12:OW N
9s	12:OW N Z
4u	10:EY D UW
4well	12:EH L
5in	10:AE D W IH N
4ys	10:AE D IH S
6'	10:AE D IH S
3eser	10:EY Z ER
3hn	1:AE N
3m	1:AE M
4or	10:AE M ER
6ize	102:AY Z
9d	100:AE M ER AY Z D
8ing	1000:AE M ER AY Z IH NG
6ous	100:AE M ER AH S
5ur	10:AE M ER
3nce	1:AE N S
6d	1:AE N S T
6s	10:AE N S IH Z
5ing	10:AE N S IH NG
5y	10:AE N S IY
4d	1:AE N D
5er	10:AE N D ER
5on	10:AE N D AH N
5s	1:AE N D Z
5ular	100:AE N JH AH L ER
4ton	10:AE N T AH N
5z	1:AE N T S
4ville	12:IH L
4z	1:AE N Z
5er	10:AE N Z ER
5man	10:AE N Z M AH N
3re	1:EH R
5d	1:EH R D
5s	1:EH R Z
4ing	10:EH R IH NG
5s	10:EH R IH S
3s	1:AE S
4by	10:AE S B IY
4co	10:AA S K OW
6ck	10:AE S K AH K
6e	10:AE S K OW
4er	10:EY Z ER
4gow	12:OW
4heen	01:IY N
5ow	10:AE SH AW
4ner	10:AE S N ER
5ost	10:AE S N AA S T;12:OW S T
4ow	10:EY Z OW
4per	10:AE S P ER
5ie	10:AE S P IY
5y	10:AE S P IY
4s	1:AE S
5's	10:AE S IH Z
5berg	10:AE S B ER G
6lower	120:OW ER
bs	120:OW ER Z
9ing	120:OW IH NG
6urn	12:ER N
5co	10:AE S K OW
7ck	12:AA K
5ed	1:AE S T
6r	10:AE S ER
6s	10:AE S AH Z;10:AE S IH Z
6y	10:AE S IY
5ford	10:AE S F AO R D
5like	12:AY K
5maker	120:EY K ER
8ing	120:EY K IH NG
7n	12:AE N;10:AE S M AH N
6eyer	100:AE S M AY ER
5ner	10:AE S N ER
5on	10:AE S AH N
5ware	12:EH R
5y	10:AE S IY
4tetter	100:AE S T IH T ER
3tfelter	100:AE T F IH L T ER
4t	1:AE T
4z	1:AE T S
5er	10:EY T Z ER
3ub	1:AO B
5er	10:AW B ER
4coma	010:OW M AH
4de	1:AO D
4s	1:AO Z
5er	10:AW S ER
3van	10:EY V AH N
4in	10:AE V IH N
6e	01:IH N;01:IY N
3we	1:AO
3xo	10:AE K S OW
5's	10:AE K S OW Z
3za	10:AA Z AH
4e	1:EY Z
5brook	12:UH K
5d	1:EY Z D
5ner	100:AE Z IY N ER
5r	10:EY Z ER
5s	10:EY Z AH Z;10:EY Z IH Z
4ier	100:EY Z IY ER
5ng	10:EY Z IH NG
4ner	10:AE Z N ER
4unov	100:AE Z UW N AA V
2eacher	10:IY CH ER
4m	1:IY M
5ed	1:IY M D
5ing	10:IY M IH NG
5s	1:IY M Z
4n	1:IY N
5ed	1:IY N D
4son	10:IY S AH N
7's	10:IY S AH N Z
4ton	10:IY T AH N
4ve	1:IY V
6s	1:IY V Z
3ba	10:IY B AH
3ckler	10:EH K L ER
3da	10:EY D AH
4hill	12:IH L
3e	1:IY
4ful	10:IY F AH L
7ly	100:IY F AH L IY
4son	10:IY Z AH N
3ghorn	10:EH G HH ER N
3ich	1:AY K
6auf	10:AY K AO F
4m	1:IY M
4sner	10:AY S N ER
3mp	1:EH M P
3n	1:EH N
4ayre	21:EH R;21:AY R
4brook	12:UH K
4da	10:EH N D AH
6le	12:EY L
5ening	100:EH N D AH N IH NG
7ning	100:EH N D IH N IH NG
5inning	100:EH N D IH N IH NG
5on	10:EH N D OW N
4fed	12:EH D
7's	12:EH D Z
4garry	210:EH R IY
4ham	10:EH N HH AH M;10:EH N AH M
4more	12:AO R
4n	1:EH N
5's	1:EH N Z
5a	10:EH N AH
5ie	10:EH N IY
5on	10:EH N AH N
5y	10:EH N IY
4ora	010:AO R AH
4s	1:EH N Z
4view	12:UW
6lle	10:EH N V IH L
4wood	12:UH D
8's	12:UH D Z
3ss	1:EH S
5ner	10:EH S N ER
3w	1:UW
2ib	1:IH B
4ly	10:IH B L IY
3ck	1:IH K
5enhaus	102:AW S
5man	10:IH K M AH N
8's	10:IH K S M AH N Z
5sman	10:IH K S M AH N
6tein	12:IY N;12:AY N
3dden	10:IH D AH N
4e	1:AY D
5d	10:AY D IH D
5r	10:AY D ER
6s	10:AY D ER Z
5s	1:AY D Z
5well	12:EH L
4ing	10:AY D IH NG
3mcher	10:IH M CH ER
4mer	10:IH M ER
7ing	100:IH M ER IH NG
7s	10:IH M ER Z
4pse	1:IH M P S
7d	1:IH M P S T
7s	10:IH M P S IH Z
3nes	1:AY N Z
4ka	10:IH NG K AH
4ski	10:IH N S K IY
4t	1:IH N T
5ing	10:IH N T IH NG
3ssandi	010:AA N D IY
5on	10:IH S AH N
4ten	10:IH S AH N
7ed	10:IH S AH N D
7ing	100:IH S AH N IH NG;10:IH S N IH NG
3tch	1:IH CH
6es	10:IH CH IH Z
4ter	10:IH T ER
7ed	10:IH T ER D
7ing	100:IH T ER IH NG
7s	10:IH T ER Z
7y	100:IH T ER IY
4z	1:IH T S
5y	10:IH T S IY
2o	1:OW
3am	1:OW M
5ing	10:OW M IH NG
4t	1:OW T
5ed	10:OW T IH D
5ing	10:OW T IH NG
5s	1:OW T S
3b	1:AA B
4al	10:OW B AH L
6's	10:OW B AH L Z
6ization	20010:EY SH AH N
8e	102:AY Z
9d	102:AY Z D
6ly	100:OW B AH L IY
6star	102:AA R
4com	10:AA B K AA M
4e	1:OW B
5's	1:OW B Z
5s	1:OW B Z
5trotter	100:OW B T R AO T ER
cs	100:OW B T R AO T ER Z
5x	10:OW B AH K S
4o	10:OW B OW
4s	1:AA B Z
4ular	100:AA B Y AH L ER
6in	100:AA B Y AH L IH N
8s	100:AA B Y AH L IH N Z
5s	10:OW B AH S
3cester	10:AW S T ER
4k	1:AA K
5enspiel	102:IY L
5ner	10:AA K N ER
3d	1:AA D
4owski	010:AO F S K IY
3e	1:OW
4ckner	10:OW K N ER
4de	1:OW D
3gowski	010:AO F S K IY
3mar	10:OW M AA R
4b	1:AA M
4ski	12:IY
3nass	10:AA N AH S
3om	1:UW M
5ier	100:UW M IY ER
6ly	100:UW M AH L IY
5y	10:UW M IY
4r	1:UH R
3p	1:AA P
4py	10:AA P IY
3r	1:AO R
4e	1:AO R
4i	10:AO R IY
5a	100:AO R IY AH
6na	2010:AE N AH
7e	201:AE N
5es	10:AO R IY Z
5fication	20010:EY SH AH N
7ed	102:AY D
8s	102:AY Z
6y	102:AY
7ing	1020:AY IH NG
5oso	0010:OW S OW
6us	100:AO R IY AH S
8ly	1000:AO R IY AH S L IY
4y	10:AO R IY
3ss	1:AO S
5ary	100:AO S ER IY
5ed	1:AO S T
6r	10:AO S ER
6s	10:AO S IH Z
5ier	100:AO S IY ER
5man	10:AO S M AH N
5on	10:AA S AH N
5y	10:AO S IY
4ter	10:AA S T ER
3tfelty	100:AA T F IH L T IY
4tal	10:AA T AH L
5is	10:AA T AH S
4zbach	10:AA T S B AA K
3ucester	10:AA S T ER
3ve	1:AH V
5d	1:AH V D
5r	10:AH V ER
5s	1:AH V Z
3w	1:OW
4acki	010:AA T S K IY
4ed	1:OW D
5r	10:AW ER
6ed	10:AW ER D
6ing	100:AW ER IH NG
4ing	10:OW IH NG
7ly	100:OW IH NG L IY
4s	1:OW Z
3yd	1:OY D
2uck	1:AH K
5's	1:AH K S
5man	10:AH K M AH N
5sman	10:AH K S M AH N
4osamate	0102:EY T
8ine	0102:IY N
6e	12:OW S
6ide	102:AY D
9s	102:AY D Z
3e	1:UW
4ck	1:UW K
4d	1:UW D
4s	1:UW Z
3m	1:AH M
4ly	10:AH M L IY
4mer	10:AH M ER
3nt	1:AH N T
5z	1:AH N T S
4z	1:AH N Z
3skin	10:AH S K IH N
3t	1:AH T
4amate	102:EY T
6ic	010:AE M IH K
5ric	010:AE R IH K
4en	10:UW T AH N
4h	1:UW TH
4s	1:AH T S
4ted	10:AH T IH D
5onous	100:AH T AH N AH S
7s	10:AH T AH N Z
7y	100:AH T AH N IY
2ycel	10:IH S AH L
5mic	010:EH M IH K
5rol	102:OW L
4ine	12:IY N;10:AY S AH N
4ogen	100:AY K AH JH IH N
5l	12:AO L;12:OW L
6ic	010:AO L AH K
5med	12:OW M D;102:EH D
5side	102:AY D
3mph	1:IH M F
3n	1:IH N
4debourne	12:AO R N
4is	10:IH N IH S
4n	1:IH N
5ie	10:IH N IY
6s	10:IH N IH S
1m	21:EH M
2ail	12:EY L
2bh	0:AH M;1111:EY CH
1nagey	10:AE JH IY
3izda	10:EY Z D AH
3nn	1:AE N
3rl	1:AA R L
5e	1:AA R L
6d	1:AA R L D
5ing	10:AA R L IH NG
5s	1:AA R L Z
5y	10:AA R L IY
3sh	1:AE SH
5ing	10:AE SH IH NG
3t	1:AE T
4catcher	120:AE CH ER
bs	120:AE CH ER Z
4s	1:AE T S
3u	1:AW
3w	1:AO
4ed	1:AO D
4ing	10:AO IH NG
4s	1:AO Z
2c	111:IY
2eiss	1:AY S
2occhi	10:OW K IY
3me	1:OW M
5s	1:OW M Z
4ic	10:OW M IH K
4onic	010:AA N IH K
3sticism	1020:IH Z AH M
2p	221:IY
2u	1:UW
1o	1:OW
2-cart	12:AA R T
2a	10:OW AH
3d	1:OW D
4ed	10:OW D IH D
4ing	10:OW D IH NG
3l	1:OW L
4ie	10:OW L IY
4keeper	120:IY P ER
4post	12:OW S T
4s	1:OW L Z
3n	1:OW N
4s	1:OW N Z
3r	1:AO R
4d	1:AO R D
3t	1:OW T
4's	1:OW T S
4ee	11:IY
5s	10:OW EY T S
4ley	10:OW T L IY
4s	1:OW T S
2b	1:AA B
3ain	10:OW B IH N
3ble	10:AA B AH L
6d	10:AA B AH L D
7ygook	2001:UH K
6r	100:AA B AH L ER;10:AA B L ER
7s	100:AA B AH L ER Z;10:AA B L ER Z
6s	10:AA B AH L Z
5ing	100:AA B AH L IH NG;10:AA B L IH NG
3el	10:OW B AH L
4n	10:AA B AH N
4r	10:OW B ER
5stein	102:IY N;102:AY N
5t	10:AA B ER T
3i	10:OW B IY
4e	10:OW B IY
4n	10:OW B IH N
5ot	100:OW B IH N AA T
4off	100:OW B IY AO F
3le	10:OW B AH L
5t	10:AA B L AH T
4in	10:AA B L IH N
6s	10:AA B L IH N Z
5rsch	10:AA B L ER SH
3s	1:AA B Z
2chenour	100:AA SH IH N UH R
4nauer	100:AA K N AW ER
5our	01:UH R
3ke	1:AA K
5l	10:AA K AH L
4ley	10:AA K L IY
2d	1:AA D
3's	1:AA D Z
3a	10:OW D AH
4ddy	120:AE D IY
4mmit	210:AE M IH T
4r	01:AA R
5d	01:AA R D
5t	10:AA D AA R T
3bee	12:IY
5y	10:AA D B IY
4old	12:OW L D
6t	12:OW L T
5ut	12:AW T
4y	10:AA D B IY
3dam	12:AE M
6mit	120:AE M IH T
6n	12:AE M
7ed	12:AE M D
5rd	10:AA D ER D
6t	10:AA D AA R T
4eau	12:OW
5n	10:AA D AH N
5ss	10:AA D AH S
7es	100:AA D AH S IH Z
4ing	10:AA D IH NG
3ek	10:OW D IH K
4tte	01:EH T
3father	120:AA DH ER
9's	120:AA DH ER Z
9s	120:AA DH ER Z
4rey	10:AA D F R IY
7's	10:AA D F R IY Z
3head	12:EH D
3in	10:OW D IH N
5a	010:IY N AH
5e	01:IY N
6s	10:AA D AY N Z
6z	010:IY N EH Z
5g	10:OW D IH NG
5o	010:IY N OW
4va	010:AY V AH
3kin	10:AA D K IH N
3leski	010:EH S K IY
6s	10:AA D L AH S
5wski	010:EH F S K IY
5y	10:AA D L IY
4ove	12:AH V
4y	10:AA D L IY
3man	10:AA D M AH N
4other	120:AH DH ER
9s	120:AH DH ER Z
3ot	01:OW
5's	01:OW Z
4wn	12:AW N
4y	10:AA D OY
3rej	10:AA D R EY
3s	1:AA D Z
4ell	10:AA D S AH L
5nd	12:EH N D
7s	12:EH N D Z
5y	10:AA D Z IY
4halk	10:AA D SH AH K
7l	10:AA D SH AH L
4peed	10:AA D S P IY D
6ll	12:EH L
3unov	100:OW D UW N AA V
3win	10:AA D W IH N
3zilla	210:IH L AH
2e	1:OW
3as	100:OW IY AH Z;10:OW Y AH Z
3bbels	10:OW B AH L Z
4el	10:OW B AH L
3cke	1:OW K
3dde	1:OW D
4e	1:OW D
5cke	10:OW D IH K
5n	10:OW D AH N
5rt	10:OW D ER T
4ken	10:OW D K AH N
3glein	12:AY N
3hner	10:OW N ER
4ring	10:AO R IH NG
3ke	1:OW K
5n	10:OW K AH N
3ller	10:OW L ER
5ner	10:OW L N ER
4z	1:OW L Z
5er	10:OW L Z ER
3man	10:OW M AH N
4on	120:EY M AH N
3n	1:OW N
4s	1:OW N Z
3pfert	10:OW P F ER T
3r	10:OW ER
4gen	10:AO R G AH N
4ing	100:OW ER IH NG
4ke	1:AO R K
4litz	10:AO R L IH T S
4ner	10:AO R N ER
4s	10:OW ER Z
4tz	1:AO R T S
6en	10:AO R T Z AH N
3s	1:OW Z
4er	10:OW Z ER
3tabanken	2010:AE NG K AH N
4hals	10:OW TH AH L Z
5e	1:OW TH
4sch	1:OW CH
4te	1:EH T
6l	10:OW T AH L
5ing	10:OW T IH NG
5l	10:OW T AH L
5sch	1:OW T CH
4z	1:EH T S
5e	1:OW T Z
5inger	100:OW T Z IH NG ER
5ke	10:OW T S K IY
5man	10:OW T S M AH N
3wey	100:AA UW IY
2ff	1:AO F
4in	10:AA F IH N
6et	100:AA F IH N IH T
4man	10:AA F M AH N
7's	10:AA F M AH N Z
4ney	10:AA F N IY
4redo	010:EY D OW
3orth	11:AO R TH
2ga	10:OW G AH
4n	10:OW G AH N
3el	10:OW G AH L
3gans	10:AA G AH N Z
4in	10:AA G IH N
6s	10:AA G IH N Z
4le	10:AA G AH L
6s	10:AA G AH L Z
3h	1:OW
4s	1:OW Z
3lia	100:AA G L IY AH
3o	12:OW
3uen	10:OW G W AH N
2h	1:OW
3een	01:IY N
3l	1:OW L
4ke	1:AA K;1:OW K
3man	10:OW M AH N
3n	1:AA N
3r	1:AA R
2in	1:OY N
4'	10:OW AH N
4es	1:OY N Z
4g	10:OW IH NG;10:OW IH N
5s	10:OW IH NG Z
6-on	101:AA N
9s	101:AA N Z
4s	1:OY N Z
3ter	10:OY T ER
3zueta	210:EY T AH
2jko	12:AO
2key	12:IY
3sel	11:AH L
2la	10:OW L AH
4b	12:AE B
4n	10:OW L AH N;01:AA N
5d	10:OW L AH N D
4s	10:OW L AH Z
5zewski	0010:EH F S K IY
4y	10:AA L EY
3ba	10:OW L B AH
4erg	10:OW L B ER G
3conda	010:AA N D AH
3d	1:OW L D
4's	1:OW L D Z
4-green	12:IY N
4a	10:OW L D AH
5de	11:EY D
5mmer	100:OW L D AH M ER
4bach	12:AA K
6um	12:AW M
5eck	12:EH K
6rg	10:OW L D B ER G
8's	10:OW L D B ER G Z
8er	100:OW L D B ER G ER
5latt	10:OW L D B L AH T
6um	10:OW L D B L AH M
4cor	12:AO R
5reek	12:IY K
7st	12:EH S T
4e	1:OW L D
5n	10:OW L D AH N
6's	10:OW L D AH N Z
6berg	100:OW L D AH N B ER G
6eye	102:AY
6rod	102:AA D
6son	100:OW L D AH N S AH N
9's	100:OW L D AH N S AH N Z
7tein	102:AY N;102:IY N
6thal	102:AA L
a's	102:AA L Z
5r	10:OW L D ER
5st	10:OW L D IH S T
5y	10:OW L D IY
4farb	12:AA R B
5eder	120:EH D ER
5ield	12:IY L D
9s	12:IY L D Z
6nch	12:IH N CH
9es	120:IH N CH IH Z
7e	12:AY N
7ger	120:IH NG G ER
6sh	12:IH SH
5us	12:AH S
4hammer	120:AE M ER
4ie	10:OW L D IY
5locks	102:AO K S
5n	10:OW L D IH N
6g	10:OW L D IH NG
7er	100:OW L D IH NG ER
4man	10:OW L D M AH N
7's	10:OW L D M AH N Z
7n	10:OW L D M AH N
7s	10:OW L D M AH N Z
6rk	12:AA R K
5ine	12:AY N
4ner	10:OW L D N ER
4ome	12:OW M
4ress	12:EH S
5ick	10:OW L D R IH K
6ng	12:IH NG
4s	1:OW L D Z
5berry	120:EH R IY
6orough	100:OW L D Z B ER OW
6y	10:OW L D Z B IY
5chmid	12:IH D
at	12:IH T
5mith	12:IH TH
9's	12:IH TH S
5on	10:OW L D S AH N
5tar	12:AA R
6ein	12:AY N;12:IY N
9's	12:AY N Z;12:IY N Z
6ock	12:AA K
7n	10:OW L D S T AH N
8e	12:OW N
6rike	12:AY K
5worthy	120:ER DH IY
4thwaite	12:EY T
4wasser	100:OW L D W AO S ER
6ter	120:AO T ER
9's	120:AO T ER Z
5in	10:OW L D W IH N
6re	12:AY R
5yn	10:OW L D W IH N
4y	10:OW L D IY
3ec	10:OW L IH K
4m	10:OW L AH M
5an	10:OW L M AH N
5beski	0010:EH S K IY
6iewski	00010:EH F S K IY
4n	10:AA L AH N
4y	10:OW L IY
3f	1:AA L F;1:AO L F
4's	1:AA L F S
4arb	12:AA R B
4ed	1:AA L F T
5r	10:AA L F ER
6's	10:AA L F ER Z
6s	10:AA L F ER Z
4ie	10:AA L F IY
5ng	10:AA L F IH NG;10:AO L F IH NG
4man	10:AA L F M AH N
4s	1:AA L F S
3gi	10:OW L JH IY
4o	10:OW L G OW
3iath	010:AY AH TH
7s	100:OW L IY AE TH S
4ghtly	120:AY T L IY
4nski	010:IH N S K IY
4sano	2010:AA N OW
3kar	10:OW L K AA R
3l	1:AA L
4a	10:AA L AH
5day	102:EY
4e	1:AA L
5r	10:AA L ER
4iday	100:AA L IY D EY
5her	100:AA L IH HH ER
4nick	10:AA L N IH K
4um	10:AA L AH M
5st	10:OW L AH S T
4y	10:AA L IY
3ob	10:OW L AH B
4mb	10:AA L AH M
6ek	101:EH K
4nka	010:OW NG K AH
4ven	100:OW L AH V AH N
3phin	10:OW L F IH N
3son	10:OW L S AH N
4ton	10:OW L S T AH N
3tz	1:OW L T S
3ub	10:OW L AH B
5ski	010:AH B S K IY
3z	1:OW L Z
2ma	10:OW M AH
3bar	01:AA R
4erg	10:AA M B ER G
6t	10:AA M B ER T
4os	10:OW M B OW Z
3er	10:OW M ER
5y	100:OW M ER IY
4s	12:EH Z
4z	10:OW M EH Z
3illion	100:AA M IH L Y AH N
3oll	10:AA M AH L
4rrah	010:AO R AH
5y	100:OW M ER IY
2nad	10:OW N AE D
5s	10:OW N AE D Z
4ives	01:AY V Z
3calves	010:AA L V EH S
4e	1:AA N S
4harov	100:AA N CH ER AA V
3d	1:AA N D
4a	10:AA N D AH
4ek	10:AA N D IH K
5r	10:AA N D ER
4ola	100:AA N D AH L AH;010:OW L AH
7s	100:AA N D AH L AH Z;010:OW L AH Z
6ier	201:IH R
9s	201:IH R Z
4wana	212:AA
8land	2102:AE N D
3e	1:AO N
4r	10:AA N ER
4t	10:OW N IH T
3g	1:AO NG
4aware	100:AA NG G AH W EH R
4ora	010:AO R AH
4s	1:AO NG Z
3ia	100:OW N IY AH
4ometer	20100:AA M AH T ER
4um	100:OW N IY AH M
3na	10:AA N AH
4ella	010:EH L AH
5rman	100:AA N ER M AH N
3ococcal	2010:AA K AH L
4rrhea	2010:IY AH
3sales	10:OW N S EY L Z
7z	010:AA L EH Z
6ves	010:AA L V EH S
4er	10:AA N S ER
4oulin	100:AA N S AW L IH N
3terman	100:AA N T ER M AH N
3ya	10:OW N Y AH
4ea	10:OW N Y EH
5r	10:OW N Y ER
4o	10:OW N Y OW
3zales	010:AA L AH S
7z	010:AA L AH Z
8's	0100:AA L AH Z AH Z
6o	010:AA L OW
4o	10:AA N Z OW
5's	10:AA N Z OW Z
2o	1:UW
3ch	1:UW CH
3d	1:UH D;0:IH D
4's	1:UH D Z
4-bye	01:AY;12:AY
5heartedly	1100:AA R T IH D L IY
5looking	120:UH K IH NG
5naturedly	1100:EY CH ER D L IY
4a	10:UH D AH;10:UW D AH
5le	12:EY L
6l	12:AO L
4bar	12:AA R
5read	12:EH D
5y	12:AY
6e	21:AY
7s	21:AY Z;01:AY Z
4child	12:AY L D
4e	1:UH D
5ll	10:UH D EH L
5n	10:UH D AH N
6's	10:UH D AH N Z
6ough	102:AW
7w	100:UH D EH N OW
5r	10:UH D ER
6ham	102:AE M
6s	10:UH D ER Z
4fella	120:EH L AH
9s	120:EH L AH Z
8ow	120:EH L OW
as	120:EH L OW Z
5riend	12:EH N D
as	12:EH N D Z
4game	12:EY M
4hart	12:AA R T
5eart	12:AA R T
5ue	12:UW
4ie	10:UH D IY
6s	10:UH D IY Z
5n	10:UH D AH N
6e	10:UH D AY N
6g	10:UH D IH NG
7's	10:UH D IH NG Z
5son	100:UH D IH S AH N
4kin	12:IH N
4land	10:UH D L AH N D;12:AE N D
5et	12:EH T
7t	12:EH T
6y	10:UH D L IY
5in	10:UH D L IH N
7g	10:UH D L IH NG
5oe	12:OW
6w	12:OW
5y	10:UH D L IY
4man	10:UH D M AH N
7's	12:AE N Z
5orning	210:AO R N IH NG
4ner	10:UH D N ER
6ss	10:UH D N AH S;10:UH D N IH S
5ight	12:AY T
9s	12:AY T S
5ough	12:AH F
6w	10:UH D N OW
4paster	120:AE S T ER
8ure	120:AE S CH ER
4reau	12:OW
5ich	12:IH CH
8's	120:IH CH IH Z
7k	10:UH D R IH K
6dge	12:IH JH
5oe	12:OW
6w	12:OW
5um	12:AH M
4s	1:UH D Z
5ell	12:EH L
5on	10:UH D S AH N
7's	10:UH D S AH N Z
5peed	12:IY D
9's	11:IY D Z
5tein	12:AY N;12:IY N
4tab	12:AE B
4will	11:IH L
6n	10:UH D W IH N
7e	12:AY N
5yn	12:IH N
4y	10:UH D IY
5's	10:UH D IY Z
5ear	10:UH D Y IH R;10:UH D Y IY R
8's	10:UH D Y IH R Z
3ey	10:UW IY
3f	1:UW F
4ed	1:UW F T
4ing	10:UW F IH NG
4s	1:UW F S
4y	10:UW F IY
3ge	1:UW JH
4in	10:UW G IH N
6s	10:UW G IH N Z
4le	10:UW G AH L
6's	10:UW G AH L Z
6d	10:UW G AH L D
6s	10:UW G AH L Z
6verse	102:ER S
5ing	10:UW G L IH NG
3k	1:UH K
4in	10:UH K IH N
3ld	1:UW L D
4ey	10:UW L IY
4sby	10:UW L S B IY
3n	1:UW N
4an	10:UW N AH N
4s	1:UW N Z
3p	1:UW P
3s	1:UW Z
4by	10:UW S B IY
4e	1:UW S
5's	10:UW S IH Z
5berries	120:EH R IY Z
9y	120:EH R IY
5fish	12:IH SH
6oot	12:UH T
5n	10:UW S AH N
5y	10:UW S IY
4sen	10:UW S AH N
7s	10:UW S AH N Z
4tree	01:IY
3tee	10:UW T IY
2pac	12:AE K
5's	12:AE K S
4l	21:AA L
3her	10:OW F ER
6s	10:OW F ER Z
3i	10:OW P IY
4nath	100:OW P IH N AH TH
3ro	12:OW
2ra	10:AO R AH
4cke	10:AO R AH K
4dze	210:AA D Z AH
4l	10:AO R AH L
5ski	010:AA L S K IY
4n	10:AO R AH N
5son	100:AO R AH N S AH N
4zde	210:AA ZH D AH;010:AA ZH D AH
7's	210:AA ZH D AH Z;010:AA ZH D AH Z
3bachev	100:AO R B AH CH EH V;102:AO F
9's	100:AO R B AH CH EH V Z;102:AO F S
9s	100:AO R B AH CH EH V Z;102:AO F S
4y	10:AO R B IY
3czyca	010:IH K AH
6nski	010:IH N S K IY
3da	10:AO R D AH
5n	10:AO R D AH N
6a	010:AE N AH
4en	10:AO R D AH N
5r	10:AO R D ER
5yev	010:AY AH V
4ian	100:AO R D IY AH N
5e	10:AO R D IY
